,Match_ID,TeamColor,killing_team,kills_sum,assist_sum
443,101e59a94cf6f805,Red,C9,7,20
444,102a038fd6d337a1,Blue,H2K,3,12
445,102a038fd6d337a1,Red,SK,16,52
446,102dee1a99ace808,Blue,AFs,16,40
447,102dee1a99ace808,Red,SKT,7,16
448,1030cc0000d80604,Blue,AFs,15,36
449,1071db097fb51c39,Blue,UOL,11,40
450,1071db097fb51c39,Red,OG,15,40
451,10817559c579d527,Blue,JAG,5,22
452,10817559c579d527,Red,SKT,11,42
453,108ada2fdf1a2a8e,Blue,FLY,20,46
454,108ada2fdf1a2a8e,Red,DIG,6,16
455,1093977366149dac,Blue,FOX,18,44
456,1093977366149dac,Red,IMT,10,14
457,1093bf6a2a8b4fb6,Blue,OG,7,20
458,1093bf6a2a8b4fb6,Red,MSF,20,54
459,10e13df564533247,Blue,CGE,3,4
460,10e13df564533247,Red,HKE,23,58
461,10e542b3146af3ed,Blue,TL,19,44
462,10e542b3146af3ed,Red,NRG,6,8
463,10f003b98fed519c,Blue,TL,13,50
464,10f003b98fed519c,Red,TIP,15,36
465,10f0e8237394bafc,Blue,SSB,3,6
466,10f0e8237394bafc,Red,SSG,17,36
467,110529bb7bc23ade,Blue,GIA,10,12
468,110529bb7bc23ade,Red,UOL,25,42
469,110a293193802baf,Blue,NV,7,10
470,110a293193802baf,Red,C9,21,64
471,111d7ae6ebddff84,Blue,FOX,9,26
472,111d7ae6ebddff84,Red,CLG,14,48
473,11309f9a28d31ba8,Blue,CLG,6,6
474,11309f9a28d31ba8,Red,TSM,19,68
475,1137cf8f26e9ec00,Blue,NV,14,42
476,1137cf8f26e9ec00,Red,TL,2,2
477,11438bc40e1b7b71,Blue,SPY,5,6
478,11438bc40e1b7b71,Red,G2,11,38
479,114fbccb7b56fd51,Blue,HKE,12,22
480,114fbccb7b56fd51,Red,ahq,21,74
481,115553e3b5040446,Blue,SKT,12,28
482,115553e3b5040446,Red,CJE,18,46
483,11600a26e4891be0,Blue,FOX,18,50
484,11600a26e4891be0,Red,IMT,19,40
485,11614ee6f1ff3790,Blue,JAG,13,32
486,11614ee6f1ff3790,Red,bbq,3,4
487,116195c2d05978be,Blue,SKT,7,10
488,116195c2d05978be,Red,kt,17,58
489,11752eecfdb459ae,Blue,SK,16,56
490,11752eecfdb459ae,Red,ROC,4,6
491,11784525dd206602,Blue,NV,7,10
492,11784525dd206602,Red,DIG,17,50
493,117d998745ae6275,Blue,SPY,7,20
494,117d998745ae6275,Red,MSF,22,72
495,117f80425ffab98f,Blue,RED,13,32
496,117f80425ffab98f,Red,REM,6,12
497,1182d84df2c13028,Blue,LZ,22,58
498,1182d84df2c13028,Red,SSG,6,12
499,118f365dbde2fb26,Blue,NJE,15,50
500,118f365dbde2fb26,Red,kt,3,12
