,match_id,team_name,player,kills,deaths,assists,kda_ratio
394,037bf9c7473334ac,TIP,Rush,1,3,5,2
395,037bf9c7473334ac,TIP,XiaoWeiXiao,0,4,5,1.25
396,037bf9c7473334ac,TSM,Dyrus,1,1,8,9
397,037bf9c7473334ac,TSM,Santorin,1,1,12,13
398,038de38887156e3a,NV,Apollo,4,3,6,3.3333333333
399,038de38887156e3a,NV,LirA,6,5,3,1.8
400,038de38887156e3a,NV,Ninja,1,6,3,0.6666666667
401,038de38887156e3a,NV,Seraph,3,5,10,2.6
402,038de38887156e3a,TL,Doublelift,8,1,10,18
403,038de38887156e3a,TL,Lourlo,4,2,8,6
404,038de38887156e3a,TL,Piglet,6,4,7,3.25
405,038de38887156e3a,TL,Reignover,5,5,10,3
406,03ce6fcebc623234,LOG,S Achie,8,7,6,2
407,03ce6fcebc623234,LOG,S HoHotDoG,2,5,11,2.6
408,03ce6fcebc623234,LOG,S JCain,2,5,11,2.6
409,03ce6fcebc623234,LOG,S RD,10,5,4,2.8
410,03ce6fcebc623234,LOG,S Ysera,0,6,12,2
411,03ce6fcebc623234,NGU,CooCooDai,6,1,8,14
412,03ce6fcebc623234,NGU,ILLusion,4,3,20,8
413,03ce6fcebc623234,NGU,MapleSnow,4,10,6,1
414,03ce6fcebc623234,NGU,QuietRain,1,3,16,5.6666666667
415,03ce6fcebc623234,NGU,momo,13,5,10,4.6
416,03d24db4e9f84a1e,CGE,AJ,0,1,1,1
417,03d24db4e9f84a1e,CGE,Never,0,5,2,0.4
418,03d24db4e9f84a1e,FW,Karsa,6,1,11,17
419,03d24db4e9f84a1e,FW,Maple,9,0,8,17
420,03d24db4e9f84a1e,FW,Rins,3,1,11,14
421,03d50976ba570b35,AFs,LirA,7,0,6,13
422,03d50976ba570b35,AFs,Mickey,5,1,4,9
423,03d50976ba570b35,AFs,Sangyoon,3,1,7,10
424,03d50976ba570b35,AFs,SnowFlower,0,0,14,14
425,03d50976ba570b35,AFs,ikssu,1,3,7,2.6666666667
426,03d50976ba570b35,SKT,Bengi,0,2,1,0.5
427,03d50976ba570b35,SKT,Duke,1,4,2,0.75
428,03d53124a83de518,CLG,Darshan,8,1,12,20
429,03d53124a83de518,CLG,Huhi,7,2,13,10
430,03d53124a83de518,CLG,Stixxay,4,6,12,2.6666666667
431,03d53124a83de518,CLG,Xmithie,5,4,12,4.25
432,03d53124a83de518,TL,Dardoch,3,3,14,5.6666666667
433,03d53124a83de518,TL,Fenix,7,2,7,7
434,03d53124a83de518,TL,Lourlo,2,5,7,1.8
435,03d53124a83de518,TL,Piglet,7,5,8,3
436,03e63541154cbf11,FOX,Hard,0,2,5,2.5
437,03e63541154cbf11,FOX,Solo,1,2,4,2.5
438,03e63541154cbf11,TSM,Hauntzer,0,1,5,5
439,03e63541154cbf11,TSM,Svenskeren,3,1,5,8
440,03e63541154cbf11,TSM,Yellowstar,0,2,10,5
441,03e84bb32f2423fc,FLY,Altec,4,4,4,2
442,03e84bb32f2423fc,FLY,Balls,1,4,3,1
443,03e84bb32f2423fc,FLY,Hai,5,5,4,1.8
444,03e84bb32f2423fc,FLY,LemonNation,1,3,9,3.3333333333
