,match_id,red_or_blue_side,team_name,kills,deaths,assists,kda_ratio
245,088793e961a98ba3,Blue,SKT,18.0,6.0,26.0,7.333333333333333
246,088793e961a98ba3,Red,MVP,6.0,18.0,11.0,0.9444444444444444
247,08cace00c3aec3f2,Blue,AFs,8.0,23.0,15.0,1.0
248,08cace00c3aec3f2,Red,ROX,23.0,8.0,46.0,8.625
249,08e695ce409fc198,Blue,SSB,7.0,17.0,15.0,1.2941176470588236
250,08e695ce409fc198,Red,kt,17.0,7.0,44.0,8.714285714285714
251,08e7331c24396957,Blue,HKE,10.0,25.0,28.0,1.52
252,08e7331c24396957,Red,ahq,25.0,10.0,57.0,8.2
253,08f3ce8ac9cbd0a0,Blue,APX,25.0,13.0,66.0,7.0
254,08f3ce8ac9cbd0a0,Red,TL,13.0,25.0,40.0,2.12
255,090fc77d706e30cc,Blue,kt,20.0,1.0,62.0,82.0
256,090fc77d706e30cc,Red,ANC,1.0,20.0,3.0,0.2
257,091c862c58b4fc5d,Blue,JAG,8.0,11.0,19.0,2.4545454545454546
258,091c862c58b4fc5d,Red,ROX,11.0,8.0,25.0,4.5
259,091e9cf7f58de3b1,Blue,ROC,17.0,10.0,47.0,6.4
260,091e9cf7f58de3b1,Red,H2K,10.0,17.0,29.0,2.2941176470588234
261,092fbdd0935158ba,Blue,KBM,6.0,13.0,16.0,1.6923076923076923
262,092fbdd0935158ba,Red,PNG,13.0,6.0,29.0,7.0
263,0949493e4b1d2840,Blue,TSM,11.0,21.0,27.0,1.8095238095238095
264,0949493e4b1d2840,Red,P1,21.0,11.0,56.0,7.0
265,095f04e06c7fe592,Blue,TDK,15.0,16.0,43.0,3.625
266,095f04e06c7fe592,Red,NME,16.0,15.0,36.0,3.466666666666667
267,0983b061a3de0700,Blue,C9,5.0,29.0,8.0,0.4482758620689655
268,0983b061a3de0700,Red,SSB,29.0,5.0,70.0,19.8
269,09b4260bc296eb42,Blue,kt,10.0,8.0,20.0,3.75
270,09b4260bc296eb42,Red,AFs,8.0,10.0,19.0,2.7
271,09d9dc4c7b495ace,Blue,TSM,19.0,11.0,47.0,6.0
272,09d9dc4c7b495ace,Red,IMT,11.0,19.0,27.0,2.0
273,0a02726928445cdc,Blue,NJE,11.0,6.0,28.0,6.5
274,0a02726928445cdc,Red,JAG,6.0,11.0,17.0,2.090909090909091
275,0a0e8846b9dd4ef7,Blue,bbq,14.0,2.0,38.0,26.0
276,0a0e8846b9dd4ef7,Red,JAG,2.0,14.0,1.0,0.21428571428571427
277,0a0ecdfbe1497be1,Blue,C9,15.0,3.0,37.0,17.333333333333332
278,0a0ecdfbe1497be1,Red,TL,3.0,15.0,8.0,0.7333333333333333
279,0a16bac145768a03,Blue,CNB,11.0,8.0,37.0,6.0
280,0a16bac145768a03,Red,ITZ,8.0,11.0,25.0,3.0
281,0a182ab8213f37e4,Blue,FNC,6.0,6.0,14.0,3.3333333333333335
282,0a182ab8213f37e4,Red,SPY,6.0,6.0,23.0,4.833333333333333
